202506210010
         lat         lon       gridj       gridi       p_lev        levm          tc          td      u_wind      v_wind      sp_hum
      30.813     104.425     124.220     157.765   95461.324      40.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   95438.433      42.000   -9999.999   -9999.999       0.369       0.460   -9999.999
      30.813     104.425     124.220     157.765   95278.314      56.000   -9999.999   -9999.999       0.493       0.469   -9999.999
      30.813     104.425     124.220     157.765   95107.000      71.000   -9999.999   -9999.999       0.483       0.638   -9999.999
      30.813     104.425     124.220     157.765   94947.332      85.000   -9999.999   -9999.999       0.544       0.839   -9999.999
      30.813     104.425     124.220     157.765   94787.880      99.000   -9999.999   -9999.999       0.613       0.877   -9999.999
      30.813     104.425     124.220     157.765   94628.646     113.000   -9999.999   -9999.999       0.882       1.022   -9999.999
      30.813     104.425     124.220     157.765   94469.629     127.000   -9999.999   -9999.999       1.098       1.231   -9999.999
      30.813     104.425     124.220     157.765   94299.493     142.000   -9999.999   -9999.999       1.309       1.431   -9999.999
      30.813     104.425     124.220     157.765   94140.924     156.000   -9999.999   -9999.999       1.378       1.477   -9999.999
      30.813     104.425     124.220     157.765   93982.570     170.000   -9999.999   -9999.999       1.442       1.513   -9999.999
      30.813     104.425     124.220     157.765   93824.433     184.000   -9999.999   -9999.999       1.480       1.490   -9999.999
      30.813     104.425     124.220     157.765   93655.239     199.000   -9999.999   -9999.999       1.508       1.404   -9999.999
      30.813     104.425     124.220     157.765   93497.547     213.000   -9999.999   -9999.999       1.491       1.287   -9999.999
      30.813     104.425     124.220     157.765   93340.071     227.000   -9999.999   -9999.999       1.370       1.105   -9999.999
      30.813     104.425     124.220     157.765   93182.809     241.000   -9999.999   -9999.999       1.346       1.038   -9999.999
      30.813     104.425     124.220     157.765   93025.762     255.000   -9999.999   -9999.999       1.167       0.911   -9999.999
      30.813     104.425     124.220     157.765   92857.736     270.000   -9999.999   -9999.999       1.068       0.793   -9999.999
      30.813     104.425     124.220     157.765   92701.132     284.000   -9999.999   -9999.999       0.929       0.806   -9999.999
      30.813     104.425     124.220     157.765   92544.743     298.000   -9999.999   -9999.999       0.834       1.023   -9999.999
      30.813     104.425     124.220     157.765   92388.568     312.000   -9999.999   -9999.999       0.664       1.141   -9999.999
      30.813     104.425     124.220     157.765   92232.606     326.000   -9999.999   -9999.999       0.425       1.292   -9999.999
      30.813     104.425     124.220     157.765   92065.740     341.000   -9999.999   -9999.999       0.074       1.358   -9999.999
      30.813     104.425     124.220     157.765   91910.220     355.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91754.912     369.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91599.817     383.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91433.879     398.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91279.224     412.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91124.780     426.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90970.548     440.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90816.528     454.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90651.740     469.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90498.157     483.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90344.785     497.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90191.623     511.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90038.671     525.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89875.028     540.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89722.511     554.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89570.204     568.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89418.106     582.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89255.377     597.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   89103.712     611.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88952.257     625.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88801.009     639.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88649.971     653.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88488.374     668.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88337.766     682.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88187.366     696.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   88037.173     710.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87887.187     724.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87726.717     739.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87577.160     753.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87427.809     767.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87278.665     781.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   87119.096     796.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86970.378     810.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86821.865     824.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86673.559     838.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86525.457     852.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86367.004     867.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86219.327     881.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   86071.854     895.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85924.586     909.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85777.521     923.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85620.179     938.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85473.537     952.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85327.098     966.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85180.862     980.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   85024.407     995.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   84878.591    1009.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   84732.979    1023.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   84587.568    1037.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   84442.360    1051.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   84287.004    1066.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   84142.213    1080.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   83997.625    1094.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   83853.237    1108.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   83709.051    1122.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   83554.788    1137.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   83411.017    1151.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   83267.447    1165.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   83124.077    1179.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   82970.688    1194.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   82827.731    1208.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   82684.975    1222.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   82542.417    1236.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   82400.059    1250.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   82247.753    1265.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   82105.806    1279.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   81964.058    1293.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   81822.508    1307.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   81681.156    1321.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   81529.927    1336.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   81388.984    1350.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   81248.239    1364.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   81107.691    1378.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   80957.323    1393.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   80817.182    1407.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   80677.239    1421.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   80537.491    1435.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   80397.940    1449.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   80248.638    1464.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   80109.492    1478.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   79970.541    1492.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   79831.786    1506.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   79693.226    1520.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   79544.984    1535.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   79406.827    1549.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   79268.865    1563.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   79131.096    1577.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78983.703    1592.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78846.336    1606.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78709.162    1620.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78572.182    1634.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78435.395    1648.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78289.051    1663.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78152.664    1677.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   78016.469    1691.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   77880.466    1705.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   77744.655    1719.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   77599.356    1734.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   77463.942    1748.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   77328.719    1762.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   77193.688    1776.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   77049.224    1791.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   76914.588    1805.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   76780.143    1819.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   76645.888    1833.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   76511.823    1847.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   76368.393    1862.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   76234.722    1876.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   76101.240    1890.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75967.947    1904.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75825.343    1919.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75692.442    1933.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75559.730    1947.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75427.206    1961.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75294.870    1975.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75153.290    1990.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   75021.344    2004.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   74889.585    2018.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   74758.014    2032.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   74626.630    2046.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   74486.069    2061.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   74355.072    2075.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   74224.262    2089.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   74093.638    2103.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73953.890    2118.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73823.652    2132.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73693.599    2146.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73563.732    2160.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73434.051    2174.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73295.311    2189.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73166.013    2203.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   73036.900    2217.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
